response_id,first_str,hiringfirst,sqshw,sqopt,sqhid,consrv_std,cf,fat,sqseen,posneg,lawsuitspr,damaging,recscale,recyesno,female,hispanic,white,black,asian,otherethn,workdecisions,eduprepared,knowsml,first,pos,cf_sqshw,fat_sqshw,cf_sqopt,fat_sqopt,cf_sqhid,fat_sqhid,cf_pos,fat_pos,posneg_std,lawsuitspr_std,damaging_std,recscale_std,recyesno_std,sqseen_std,hiring,hiring_pos,sqshw_pos,sqopt_pos,tmp,sqseen_first,sqseen_second,_est_posneg
1,_post_second,1,1,0,0,-0.85629144,1,0,,3,7,6,4,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,-0.9069742,1.394617,0.6183197,-0.3667277,-1.19522,,0,0,1,0,,0,1,1
1,_pre_second,1,1,0,0,-0.85629144,1,0,1,3,7,6,4,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,-0.9069742,1.394617,0.6183197,-0.3667277,0.8362461,0.8783317,0,0,0,0,1,0,1,1
1,_pre_first,1,1,0,0,-0.85629144,0,0,1,4,6,6,4,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-0.151352,0.7953767,0.6183197,-0.3667277,-1.19522,0.8783317,0,0,0,0,0,1,0,1
1,_post_first,1,1,0,0,-0.85629144,0,0,,5,4,6,4,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.6042702,-0.4031032,0.6183197,-0.3667277,0.8362461,,0,0,1,0,,1,0,1
2,_pre_second,1,0,1,0,-0.43780946,0,0,1,5,4,3,6,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.6042702,-0.4031032,-1.254503,0.6866559,0.8362461,0.8783317,0,0,0,0,1,0,1,1
2,_post_second,1,0,1,0,-0.43780946,0,0,,5,3,2,7,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.6042702,-1.002343,-1.878777,1.213348,0.8362461,,0,0,0,1,,0,1,1
2,_pre_first,1,0,1,0,-0.43780946,0,0,1,4,6,5,7,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.151352,0.7953767,-0.0059544,1.213348,0.8362461,0.8783317,0,0,0,0,0,1,0,1
2,_post_first,1,0,1,0,-0.43780946,0,0,,4,5,5,7,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,-0.151352,0.1961368,-0.0059544,1.213348,0.8362461,,0,0,0,1,,1,0,1
3,_post_second,1,0,0,1,1.6546004,1,0,,3,5,5,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,-0.9069742,0.1961368,-0.0059544,-0.8934194,0.8362461,,0,0,0,0,,0,0,1
3,_pre_second,1,0,0,1,1.6546004,1,0,0,4,5,4,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.151352,0.1961368,-0.6302286,-0.8934194,-1.19522,-1.137379,0,0,0,0,0,0,0,1
